"cell_value","geo_level_code","data_type_code","time"
1.4,"MW","HVR","2000-Q1"
72.2,"MW","HOR","2000-Q1"
8.5,"MW","RVR","2000-Q1"
1.2,"NE","HVR","2000-Q1"
5.6,"NE","RVR","2000-Q1"
63.3,"NE","HOR","2000-Q1"
1.8,"SO","HVR","2000-Q1"
10.2,"SO","RVR","2000-Q1"
69.5,"SO","HOR","2000-Q1"
1.6,"US","HVR","2000-Q1"
7.9,"US","RVR","2000-Q1"
67.1,"US","HOR","2000-Q1"
0.1,"US","E_HVR","2000-Q1"
0.2,"US","E_RVR","2000-Q1"
0.3,"US","E_HOR","2000-Q1"
67.1,"US","SAHOR","2000-Q1"
1.8,"WE","HVR","2000-Q1"
61.3,"WE","HOR","2000-Q1"
6,"WE","RVR","2000-Q1"
1.3,"MW","HVR","2000-Q2"
72.2,"MW","HOR","2000-Q2"
8.3,"MW","RVR","2000-Q2"
5.8,"NE","RVR","2000-Q2"
63.4,"NE","HOR","2000-Q2"
1.2,"NE","HVR","2000-Q2"
1.8,"SO","HVR","2000-Q2"
10.5,"SO","RVR","2000-Q2"
69.2,"SO","HOR","2000-Q2"
67.2,"US","HOR","2000-Q2"
1.5,"US","HVR","2000-Q2"
8,"US","RVR","2000-Q2"
0.1,"US","E_HVR","2000-Q2"
0.2,"US","E_RVR","2000-Q2"
0.3,"US","E_HOR","2000-Q2"
67.3,"US","SAHOR","2000-Q2"
1.4,"WE","HVR","2000-Q2"
61.9,"WE","HOR","2000-Q2"
6,"WE","RVR","2000-Q2"
9.6,"MW","RVR","2000-Q3"
1.3,"MW","HVR","2000-Q3"
72.9,"MW","HOR","2000-Q3"
5.8,"NE","RVR","2000-Q3"
63.9,"NE","HOR","2000-Q3"
1.2,"NE","HVR","2000-Q3"
10.6,"SO","RVR","2000-Q3"
69.7,"SO","HOR","2000-Q3"
2,"SO","HVR","2000-Q3"
8.2,"US","RVR","2000-Q3"
67.7,"US","HOR","2000-Q3"
1.6,"US","HVR","2000-Q3"
0.1,"US","E_HVR","2000-Q3"
0.2,"US","E_RVR","2000-Q3"
0.3,"US","E_HOR","2000-Q3"
67.5,"US","SAHOR","2000-Q3"
5.7,"WE","RVR","2000-Q3"
62.2,"WE","HOR","2000-Q3"
1.5,"WE","HVR","2000-Q3"
8.7,"MW","RVR","2000-Q4"
1.3,"MW","HVR","2000-Q4"
73.1,"MW","HOR","2000-Q4"
5.3,"NE","RVR","2000-Q4"
63.2,"NE","HOR","2000-Q4"
1.2,"NE","HVR","2000-Q4"
10.8,"SO","RVR","2000-Q4"
69.8,"SO","HOR","2000-Q4"
2.2,"SO","HVR","2000-Q4"
7.8,"US","RVR","2000-Q4"
67.5,"US","HOR","2000-Q4"
1.6,"US","HVR","2000-Q4"
0.2,"US","E_RVR","2000-Q4"
0.1,"US","E_HVR","2000-Q4"
0.3,"US","E_HOR","2000-Q4"
67.5,"US","SAHOR","2000-Q4"
5.3,"WE","RVR","2000-Q4"
61.6,"WE","HOR","2000-Q4"
1.4,"WE","HVR","2000-Q4"
1.5,"MW","HVR","2001-Q1"
73.2,"MW","HOR","2001-Q1"
8.9,"MW","RVR","2001-Q1"
63.6,"NE","HOR","2001-Q1"
1.2,"NE","HVR","2001-Q1"
5.1,"NE","RVR","2001-Q1"
1.9,"SO","HVR","2001-Q1"
11.3,"SO","RVR","2001-Q1"
69.3,"SO","HOR","2001-Q1"
1.5,"US","HVR","2001-Q1"
8.2,"US","RVR","2001-Q1"
67.5,"US","HOR","2001-Q1"
0.1,"US","E_HVR","2001-Q1"
0.2,"US","E_RVR","2001-Q1"
67.6,"US","SAHOR","2001-Q1"
1.3,"WE","HVR","2001-Q1"
5.8,"WE","RVR","2001-Q1"
62,"WE","HOR","2001-Q1"
1.9,"MW","HVR","2001-Q2"
72.7,"MW","HOR","2001-Q2"
10.3,"MW","RVR","2001-Q2"
63.2,"NE","HOR","2001-Q2"
1.2,"NE","HVR","2001-Q2"
5.3,"NE","RVR","2001-Q2"
10.8,"SO","RVR","2001-Q2"
69.7,"SO","HOR","2001-Q2"
2,"SO","HVR","2001-Q2"
1.8,"US","HVR","2001-Q2"
8.3,"US","RVR","2001-Q2"
67.7,"US","HOR","2001-Q2"
0.1,"US","E_HVR","2001-Q2"
0.2,"US","E_RVR","2001-Q2"
67.8,"US","SAHOR","2001-Q2"
1.6,"WE","HVR","2001-Q2"
5.7,"WE","RVR","2001-Q2"
62.9,"WE","HOR","2001-Q2"
0.3,"US","E_HOR","2001-Q1"
0.3,"US","E_HOR","2001-Q2"
1.8,"MW","HVR","2001-Q3"
72.9,"MW","HOR","2001-Q3"
9.3,"MW","RVR","2001-Q3"
1.3,"NE","HVR","2001-Q3"
5.5,"NE","RVR","2001-Q3"
64.1,"NE","HOR","2001-Q3"
2.3,"SO","HVR","2001-Q3"
10.8,"SO","RVR","2001-Q3"
70.1,"SO","HOR","2001-Q3"
1.9,"US","HVR","2001-Q3"
8.4,"US","RVR","2001-Q3"
68.1,"US","HOR","2001-Q3"
0.1,"US","E_HVR","2001-Q3"
0.2,"US","E_RVR","2001-Q3"
0.3,"US","E_HOR","2001-Q3"
67.9,"US","SAHOR","2001-Q3"
1.7,"WE","HVR","2001-Q3"
6.6,"WE","RVR","2001-Q3"
63.1,"WE","HOR","2001-Q3"
1.7,"MW","HVR","2001-Q4"
73.5,"MW","HOR","2001-Q4"
10.3,"MW","RVR","2001-Q4"
1.2,"NE","HVR","2001-Q4"
5.4,"NE","RVR","2001-Q4"
64,"NE","HOR","2001-Q4"
2.2,"SO","HVR","2001-Q4"
11.5,"SO","RVR","2001-Q4"
70.1,"SO","HOR","2001-Q4"
1.8,"US","HVR","2001-Q4"
8.8,"US","RVR","2001-Q4"
68,"US","HOR","2001-Q4"
0.1,"US","E_HVR","2001-Q4"
0.2,"US","E_RVR","2001-Q4"
0.3,"US","E_HOR","2001-Q4"
67.9,"US","SAHOR","2001-Q4"
1.7,"WE","HVR","2001-Q4"
6.6,"WE","RVR","2001-Q4"
62.3,"WE","HOR","2001-Q4"
1.7,"MW","HVR","2002-Q1"
73.2,"MW","HOR","2002-Q1"
