"time","data_type_code","geo_level_code","cell_value"
"2021-Q1","ASOLD","NE",44.6666666666667
"2021-Q2","ASOLD","NE",36.3333333333333
"2021-Q3","ASOLD","NE",26
"2014-Q1","FORSALE","NE",16
"2014-Q2","FORSALE","NE",16.3333333333333
"2014-Q3","FORSALE","NE",16.6666666666667
"2014-Q4","FORSALE","NE",17.3333333333333
"2015-Q1","FORSALE","NE",18.3333333333333
"2015-Q2","FORSALE","NE",20.6666666666667
"2015-Q3","FORSALE","NE",22.3333333333333
"2015-Q4","FORSALE","NE",22.6666666666667
"2016-Q1","FORSALE","NE",24
"2016-Q2","FORSALE","NE",25
"2016-Q3","FORSALE","NE",26
"2016-Q4","FORSALE","NE",27
"2017-Q1","FORSALE","NE",26.3333333333333
"2017-Q2","FORSALE","NE",25
"2017-Q3","FORSALE","NE",24.3333333333333
"2017-Q4","FORSALE","NE",24.6666666666667
"2018-Q1","FORSALE","NE",23.3333333333333
"2018-Q2","FORSALE","NE",23.6666666666667
"2018-Q3","FORSALE","NE",26.3333333333333
"2018-Q4","FORSALE","NE",27
"2019-Q1","FORSALE","NE",28
"2019-Q2","FORSALE","NE",28.3333333333333
"2019-Q3","FORSALE","NE",28.3333333333333
"2019-Q4","FORSALE","NE",28.6666666666667
"2020-Q1","FORSALE","NE",26.6666666666667
"2020-Q2","FORSALE","NE",25
"2020-Q3","FORSALE","NE",22.3333333333333
"2020-Q4","FORSALE","NE",23
"2021-Q1","FORSALE","NE",26
"2021-Q2","FORSALE","NE",25.6666666666667
"2021-Q3","FORSALE","NE",28.5
"2014-Q1","SOLD","NE",2.33333333333333
"2014-Q2","SOLD","NE",2.33333333333333
"2014-Q3","SOLD","NE",2.66666666666667
"2014-Q4","SOLD","NE",2
"2015-Q1","SOLD","NE",1.66666666666667
"2015-Q2","SOLD","NE",1.66666666666667
"2015-Q3","SOLD","NE",2.33333333333333
"2015-Q4","SOLD","NE",2.33333333333333
"2016-Q1","SOLD","NE",2.66666666666667
"2016-Q2","SOLD","NE",3.33333333333333
"2016-Q3","SOLD","NE",2.66666666666667
"2016-Q4","SOLD","NE",2.66666666666667
"2017-Q1","SOLD","NE",2.66666666666667
"2017-Q2","SOLD","NE",4
"2017-Q3","SOLD","NE",3.33333333333333
"2017-Q4","SOLD","NE",2.66666666666667
"2018-Q1","SOLD","NE",3
"2018-Q2","SOLD","NE",3.33333333333333
"2018-Q3","SOLD","NE",2.33333333333333
"2018-Q4","SOLD","NE",2
"2019-Q1","SOLD","NE",2.33333333333333
"2019-Q2","SOLD","NE",2.33333333333333
"2019-Q3","SOLD","NE",3
"2019-Q4","SOLD","NE",2.33333333333333
"2020-Q1","SOLD","NE",3
"2020-Q2","SOLD","NE",3.33333333333333
"2020-Q3","SOLD","NE",3.66666666666667
"2020-Q4","SOLD","NE",2.66666666666667
"2021-Q1","SOLD","NE",3.66666666666667
"2021-Q2","SOLD","NE",3.66666666666667
"2021-Q3","SOLD","NE",2.5
"2014-Q1","ASOLD","SO",245
"2014-Q2","ASOLD","SO",230
"2014-Q3","ASOLD","SO",243.333333333333
"2014-Q4","ASOLD","SO",260
"2015-Q1","ASOLD","SO",297.666666666667
"2015-Q2","ASOLD","SO",285.333333333333
"2015-Q3","ASOLD","SO",283.333333333333
"2015-Q4","ASOLD","SO",278
"2016-Q1","ASOLD","SO",294.333333333333
"2016-Q2","ASOLD","SO",323
"2016-Q3","ASOLD","SO",340
"2016-Q4","ASOLD","SO",309.333333333333
"2017-Q1","ASOLD","SO",337.666666666667
"2017-Q2","ASOLD","SO",342
"2017-Q3","ASOLD","SO",318
"2017-Q4","ASOLD","SO",365
"2018-Q1","ASOLD","SO",350.333333333333
"2018-Q2","ASOLD","SO",368.333333333333
"2018-Q3","ASOLD","SO",328.333333333333
"2018-Q4","ASOLD","SO",342.333333333333
