,RegionID,RegionName,StateName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,average
0,102001,United States,US,243000.0,243000.0,250000.0,254000.0,260000.0,265000.0,264000.0,261000.0,259490.0,259900.0,260000.0,265000.0,257833.0,262000.0,269000.0,269000.0,265000.0,274114.0,284900.0,286000.0,289900.0,290000.0,292000.0,290000.0,285000.0,290000.0,303000.0,315000.0,320559.0,330000.0,269667.6451612903
1,394913,"New York, NY",NY,410000.0,410000.0,400714.0,410000.0,420000.0,435000.0,440000.0,434000.0,426150.0,420000.0,420000.0,420000.0,425000.0,425000.0,425000.0,435000.0,435000.0,450000.0,450000.0,460000.0,460000.0,470000.0,477500.0,470000.0,470000.0,475000.0,480000.0,495000.0,510000.0,530000.0,444621.8387096774
2,753899,"Los Angeles-Long Beach-Anaheim, CA",CA,620000.0,633000.0,645000.0,650000.0,650000.0,657000.0,675000.0,654900.0,655000.0,653000.0,650500.0,660000.0,660000.0,662500.0,682000.0,670000.0,655000.0,685000.0,715000.0,729500.0,738710.0,738000.0,730000.0,730000.0,725000.0,750000.0,776000.0,800000.0,820000.0,831000.0,698548.6774193548
3,394463,"Chicago, IL",IL,223500.0,226650.0,236850.0,245000.0,250000.0,253000.0,250000.0,245000.0,235000.0,235000.0,235000.0,232500.0,226000.0,230000.0,250000.0,261500.0,252000.0,255000.0,265000.0,270000.0,265000.0,270000.0,260000.0,260000.0,253000.0,255000.0,270000.0,280000.0,295000.0,300000.0,257402.0322580645
4,394514,"Dallas-Fort Worth, TX",TX,249900.0,259000.0,268680.0,269790.0,280000.0,282500.0,278000.0,275000.0,270000.0,270000.0,270000.0,275353.0,266000.0,274000.0,280000.0,285000.0,280000.0,290000.0,300000.0,299900.0,298675.0,300000.0,300000.0,300000.0,294000.0,310000.0,320000.0,331918.0,350000.0,355000.0,292813.87096774194
5,394974,"Philadelphia, PA",PA,229900.0,225345.0,241000.0,244000.0,253000.0,268000.0,267000.0,264000.0,250000.0,245000.0,250000.0,252000.0,245000.0,246000.0,255000.0,275000.0,267900.0,272000.0,281000.0,285000.0,280800.0,279000.0,275000.0,280000.0,270000.0,262500.0,270000.0,280864.0,285000.0,305000.0,267718.8064516129
6,394692,"Houston, TX",TX,227000.0,230000.0,241000.0,245000.0,248000.0,253750.0,250000.0,249001.0,243000.0,239900.0,245875.0,250990.0,237000.0,247876.0,248000.0,252995.0,248934.0,260000.0,268458.0,265000.0,262000.0,264990.0,267500.0,271000.0,261000.0,274900.0,288908.0,292000.0,302000.0,311555.0,262655.6129032258
7,395209,"Washington, DC",DC,389000.0,395000.0,410000.0,417750.0,428000.0,425000.0,425000.0,420000.0,400000.0,409900.0,420000.0,422205.0,399945.0,419000.0,437944.0,443000.0,435000.0,439000.0,465000.0,455000.0,450000.0,450000.0,448000.0,445000.0,425000.0,425000.0,460000.0,486400.0,500000.0,498000.0,433495.2580645161
8,394856,"Miami-Fort Lauderdale, FL",FL,272000.0,278000.0,290000.0,282900.0,289000.0,298750.0,299000.0,295000.0,292700.0,298500.0,305000.0,300000.0,295000.0,298000.0,306000.0,312500.0,312000.0,319000.0,325000.0,330000.0,330000.0,330000.0,330000.0,330000.0,335000.0,340000.0,345000.0,352449.0,360000.0,370000.0,316634.03225806454
9,394347,"Atlanta, GA",GA,238490.0,239000.0,249013.0,251000.0,261000.0,265000.0,265000.0,258000.0,258244.0,255000.0,260000.0,265000.0,249907.0,265000.0,272000.0,275000.0,265000.0,271500.0,280000.0,284000.0,283546.0,285000.0,284719.0,284000.0,279900.0,285675.0,305000.0,315000.0,325000.0,335000.0,277559.3870967742
