"cell_value","category_code","geo_level_code","data_type_code","time","Quarter"
29,"FORSALE","MW","TOTAL","2014-01","2014-Q1"
3,"SOLD","MW","TOTAL","2014-01","2014-Q1"
16,"FORSALE","NE","TOTAL","2014-01","2014-Q1"
3,"SOLD","NE","TOTAL","2014-01","2014-Q1"
102,"FORSALE","SO","TOTAL","2014-01","2014-Q1"
19,"SOLD","SO","TOTAL","2014-01","2014-Q1"
144,"ASOLD","US","NOTSTD","2014-01","2014-Q1"
31,"FORSALE","US","NOTSTD","2014-01","2014-Q1"
5.7,"FORSALE","US","MONSUP","2014-01","2014-Q1"
47,"FORSALE","US","COMPED","2014-01","2014-Q1"
110,"FORSALE","US","UNDERC","2014-01","2014-Q1"
188,"FORSALE","US","TOTAL","2014-01","2014-Q1"
3.2,"FORSALE","US","MMTHS","2014-01","2014-Q1"
5.1,"FORSALE","US","MONSUP","2014-01","2014-Q1"
44,"FORSALE","US","COMPED","2014-01","2014-Q1"
31,"FORSALE","US","NOTSTD","2014-01","2014-Q1"
114,"FORSALE","US","UNDERC","2014-01","2014-Q1"
189,"FORSALE","US","TOTAL","2014-01","2014-Q1"
12,"SOLD","US","UNDERC","2014-01","2014-Q1"
337300,"SOLD","US","AVERAG","2014-01","2014-Q1"
10,"SOLD","US","COMPED","2014-01","2014-Q1"
269800,"SOLD","US","MEDIAN","2014-01","2014-Q1"
33,"SOLD","US","TOTAL","2014-01","2014-Q1"
11,"SOLD","US","NOTSTD","2014-01","2014-Q1"
41,"FORSALE","WE","TOTAL","2014-01","2014-Q1"
8,"SOLD","WE","TOTAL","2014-01","2014-Q1"
28,"FORSALE","MW","TOTAL","2014-02","2014-Q1"
4,"SOLD","MW","TOTAL","2014-02","2014-Q1"
23,"ASOLD","NE","TOTAL","2014-02","2014-Q1"
16,"FORSALE","NE","TOTAL","2014-02","2014-Q1"
2,"SOLD","NE","TOTAL","2014-02","2014-Q1"
251,"ASOLD","SO","TOTAL","2014-02","2014-Q1"
50,"ASOLD","MW","TOTAL","2014-01","2014-Q1"
57,"ASOLD","MW","TOTAL","2014-02","2014-Q1"
30,"ASOLD","NE","TOTAL","2014-01","2014-Q1"
161,"ASOLD","US","UNDERC","2014-01","2014-Q1"
138,"ASOLD","US","COMPED","2014-01","2014-Q1"
443,"ASOLD","US","TOTAL","2014-01","2014-Q1"
247,"ASOLD","SO","TOTAL","2014-01","2014-Q1"
116,"ASOLD","WE","TOTAL","2014-01","2014-Q1"
100,"FORSALE","SO","TOTAL","2014-02","2014-Q1"
21,"SOLD","SO","TOTAL","2014-02","2014-Q1"
120,"ASOLD","US","NOTSTD","2014-02","2014-Q1"
152,"ASOLD","US","UNDERC","2014-02","2014-Q1"
148,"ASOLD","US","COMPED","2014-02","2014-Q1"
420,"ASOLD","US","TOTAL","2014-02","2014-Q1"
5.4,"FORSALE","US","MONSUP","2014-02","2014-Q1"
45,"FORSALE","US","COMPED","2014-02","2014-Q1"
109,"FORSALE","US","UNDERC","2014-02","2014-Q1"
185,"FORSALE","US","TOTAL","2014-02","2014-Q1"
3.4,"FORSALE","US","MMTHS","2014-02","2014-Q1"
30,"FORSALE","US","NOTSTD","2014-02","2014-Q1"
43,"FORSALE","US","COMPED","2014-02","2014-Q1"
30,"FORSALE","US","NOTSTD","2014-02","2014-Q1"
114,"FORSALE","US","UNDERC","2014-02","2014-Q1"
187,"FORSALE","US","TOTAL","2014-02","2014-Q1"
5.3,"FORSALE","US","MONSUP","2014-02","2014-Q1"
325900,"SOLD","US","AVERAG","2014-02","2014-Q1"
12,"SOLD","US","COMPED","2014-02","2014-Q1"
268400,"SOLD","US","MEDIAN","2014-02","2014-Q1"
35,"SOLD","US","TOTAL","2014-02","2014-Q1"
11,"SOLD","US","NOTSTD","2014-02","2014-Q1"
12,"SOLD","US","UNDERC","2014-02","2014-Q1"
89,"ASOLD","WE","TOTAL","2014-02","2014-Q1"
41,"FORSALE","WE","TOTAL","2014-02","2014-Q1"
8,"SOLD","WE","TOTAL","2014-02","2014-Q1"
55,"ASOLD","MW","TOTAL","2014-03","2014-Q1"
5,"SOLD","MW","TOTAL","2014-03","2014-Q1"
28,"FORSALE","MW","TOTAL","2014-03","2014-Q1"
26,"ASOLD","NE","TOTAL","2014-03","2014-Q1"
16,"FORSALE","NE","TOTAL","2014-03","2014-Q1"
2,"SOLD","NE","TOTAL","2014-03","2014-Q1"
237,"ASOLD","SO","TOTAL","2014-03","2014-Q1"
102,"FORSALE","SO","TOTAL","2014-03","2014-Q1"
23,"SOLD","SO","TOTAL","2014-03","2014-Q1"
132,"ASOLD","US","NOTSTD","2014-03","2014-Q1"
152,"ASOLD","US","UNDERC","2014-03","2014-Q1"
121,"ASOLD","US","COMPED","2014-03","2014-Q1"
405,"ASOLD","US","TOTAL","2014-03","2014-Q1"
4.9,"FORSALE","US","MONSUP","2014-03","2014-Q1"
48,"FORSALE","US","COMPED","2014-03","2014-Q1"
108,"FORSALE","US","UNDERC","2014-03","2014-Q1"
187,"FORSALE","US","TOTAL","2014-03","2014-Q1"
3.3,"FORSALE","US","MMTHS","2014-03","2014-Q1"
31,"FORSALE","US","NOTSTD","2014-03","2014-Q1"
5.6,"FORSALE","US","MONSUP","2014-03","2014-Q1"
47,"FORSALE","US","COMPED","2014-03","2014-Q1"
31,"FORSALE","US","NOTSTD","2014-03","2014-Q1"
112,"FORSALE","US","UNDERC","2014-03","2014-Q1"
190,"FORSALE","US","TOTAL","2014-03","2014-Q1"
331500,"SOLD","US","AVERAG","2014-03","2014-Q1"
11,"SOLD","US","COMPED","2014-03","2014-Q1"
282300,"SOLD","US","MEDIAN","2014-03","2014-Q1"
39,"SOLD","US","TOTAL","2014-03","2014-Q1"
14,"SOLD","US","NOTSTD","2014-03","2014-Q1"
14,"SOLD","US","UNDERC","2014-03","2014-Q1"
87,"ASOLD","WE","TOTAL","2014-03","2014-Q1"
42,"FORSALE","WE","TOTAL","2014-03","2014-Q1"
9,"SOLD","WE","TOTAL","2014-03","2014-Q1"
63,"ASOLD","MW","TOTAL","2014-04","2014-Q2"
27,"FORSALE","MW","TOTAL","2014-04","2014-Q2"
7,"SOLD","MW","TOTAL","2014-04","2014-Q2"
21,"ASOLD","NE","TOTAL","2014-04","2014-Q2"
16,"FORSALE","NE","TOTAL","2014-04","2014-Q2"
2,"SOLD","NE","TOTAL","2014-04","2014-Q2"
225,"ASOLD","SO","TOTAL","2014-04","2014-Q2"
102,"FORSALE","SO","TOTAL","2014-04","2014-Q2"
21,"SOLD","SO","TOTAL","2014-04","2014-Q2"
153,"ASOLD","US","UNDERC","2014-04","2014-Q2"
123,"ASOLD","US","NOTSTD","2014-04","2014-Q2"
127,"ASOLD","US","COMPED","2014-04","2014-Q2"
403,"ASOLD","US","TOTAL","2014-04","2014-Q2"
4.9,"FORSALE","US","MONSUP","2014-04","2014-Q2"
48,"FORSALE","US","COMPED","2014-04","2014-Q2"
112,"FORSALE","US","UNDERC","2014-04","2014-Q2"
188,"FORSALE","US","TOTAL","2014-04","2014-Q2"
3.2,"FORSALE","US","MMTHS","2014-04","2014-Q2"
29,"FORSALE","US","NOTSTD","2014-04","2014-Q2"
5.7,"FORSALE","US","MONSUP","2014-04","2014-Q2"
48,"FORSALE","US","COMPED","2014-04","2014-Q2"
29,"FORSALE","US","NOTSTD","2014-04","2014-Q2"
113,"FORSALE","US","UNDERC","2014-04","2014-Q2"
190,"FORSALE","US","TOTAL","2014-04","2014-Q2"
325100,"SOLD","US","AVERAG","2014-04","2014-Q2"
12,"SOLD","US","COMPED","2014-04","2014-Q2"
274500,"SOLD","US","MEDIAN","2014-04","2014-Q2"
39,"SOLD","US","TOTAL","2014-04","2014-Q2"
12,"SOLD","US","NOTSTD","2014-04","2014-Q2"
15,"SOLD","US","UNDERC","2014-04","2014-Q2"
94,"ASOLD","WE","TOTAL","2014-04","2014-Q2"
43,"FORSALE","WE","TOTAL","2014-04","2014-Q2"
9,"SOLD","WE","TOTAL","2014-04","2014-Q2"
74,"ASOLD","MW","TOTAL","2014-05","2014-Q2"
7,"SOLD","MW","TOTAL","2014-05","2014-Q2"
36,"ASOLD","NE","TOTAL","2014-05","2014-Q2"
16,"FORSALE","NE","TOTAL","2014-05","2014-Q2"
27,"FORSALE","MW","TOTAL","2014-05","2014-Q2"
3,"SOLD","NE","TOTAL","2014-05","2014-Q2"
232,"ASOLD","SO","TOTAL","2014-05","2014-Q2"
103,"FORSALE","SO","TOTAL","2014-05","2014-Q2"
22,"SOLD","SO","TOTAL","2014-05","2014-Q2"
149,"ASOLD","US","COMPED","2014-05","2014-Q2"
141,"ASOLD","US","NOTSTD","2014-05","2014-Q2"
161,"ASOLD","US","UNDERC","2014-05","2014-Q2"
451,"ASOLD","US","TOTAL","2014-05","2014-Q2"
47,"FORSALE","US","COMPED","2014-05","2014-Q2"
115,"FORSALE","US","UNDERC","2014-05","2014-Q2"
191,"FORSALE","US","TOTAL","2014-05","2014-Q2"
3.4,"FORSALE","US","MMTHS","2014-05","2014-Q2"
30,"FORSALE","US","NOTSTD","2014-05","2014-Q2"
4.4,"FORSALE","US","MONSUP","2014-05","2014-Q2"
49,"FORSALE","US","COMPED","2014-05","2014-Q2"
115,"FORSALE","US","UNDERC","2014-05","2014-Q2"
5.2,"FORSALE","US","MONSUP","2014-05","2014-Q2"
30,"FORSALE","US","NOTSTD","2014-05","2014-Q2"
194,"FORSALE","US","TOTAL","2014-05","2014-Q2"
14,"SOLD","US","COMPED","2014-05","2014-Q2"
