"cell_value","geo_level_code","data_type_code","time"
1416,"MW","OFFMAR","2019-Q1"
721,"MW","RENT","2019-Q1"
230,"MW","SALE","2019-Q1"
206,"MW","RNTSLD","2019-Q1"
300,"MW","OCCUSE","2019-Q1"
892,"MW","OTH","2019-Q1"
8624,"MW","RNTOCC","2019-Q1"
3343,"MW","VACANT","2019-Q1"
2573,"MW","YRVAC","2019-Q1"
770,"MW","SEASON","2019-Q1"
224,"MW","URE","2019-Q1"
30476,"MW","TOTAL","2019-Q1"
27133,"MW","OCC","2019-Q1"
18509,"MW","OWNOCC","2019-Q1"
2059,"NE","YRVAC","2019-Q1"
817,"NE","SEASON","2019-Q1"
447,"NE","RENT","2019-Q1"
161,"NE","SALE","2019-Q1"
199,"NE","RNTSLD","2019-Q1"
1252,"NE","OFFMAR","2019-Q1"
325,"NE","OCCUSE","2019-Q1"
213,"NE","URE","2019-Q1"
713,"NE","OTH","2019-Q1"
8449,"NE","RNTOCC","2019-Q1"
2875,"NE","VACANT","2019-Q1"
24392,"NE","TOTAL","2019-Q1"
21517,"NE","OCC","2019-Q1"
13068,"NE","OWNOCC","2019-Q1"
416,"SO","RNTSLD","2019-Q1"
628,"SO","URE","2019-Q1"
1555,"SO","SEASON","2019-Q1"
529,"SO","SALE","2019-Q1"
3516,"SO","OFFMAR","2019-Q1"
968,"SO","OCCUSE","2019-Q1"
1920,"SO","OTH","2019-Q1"
7626,"SO","VACANT","2019-Q1"
6071,"SO","YRVAC","2019-Q1"
1610,"SO","RENT","2019-Q1"
53766,"SO","TOTAL","2019-Q1"
46140,"SO","OCC","2019-Q1"
30525,"SO","OWNOCC","2019-Q1"
15615,"SO","RNTOCC","2019-Q1"
139069,"US","TOTAL","2019-Q1"
122255,"US","OCC","2019-Q1"
78532,"US","OWNOCC","2019-Q1"
43723,"US","RNTOCC","2019-Q1"
16814,"US","VACANT","2019-Q1"
12858,"US","YRVAC","2019-Q1"
3956,"US","SEASON","2019-Q1"
3315,"US","RENT","2019-Q1"
1090,"US","SALE","2019-Q1"
1028,"US","RNTSLD","2019-Q1"
7424,"US","OFFMAR","2019-Q1"
2071,"US","OCCUSE","2019-Q1"
1378,"US","URE","2019-Q1"
3975,"US","OTH","2019-Q1"
30435,"WE","TOTAL","2019-Q1"
27466,"WE","OCC","2019-Q1"
16431,"WE","OWNOCC","2019-Q1"
11035,"WE","RNTOCC","2019-Q1"
2969,"WE","VACANT","2019-Q1"
2155,"WE","YRVAC","2019-Q1"
814,"WE","SEASON","2019-Q1"
538,"WE","RENT","2019-Q1"
170,"WE","SALE","2019-Q1"
207,"WE","RNTSLD","2019-Q1"
1240,"WE","OFFMAR","2019-Q1"
478,"WE","OCCUSE","2019-Q1"
312,"WE","URE","2019-Q1"
450,"WE","OTH","2019-Q1"
737,"MW","SEASON","2019-Q2"
644,"MW","RENT","2019-Q2"
189,"MW","SALE","2019-Q2"
289,"MW","RNTSLD","2019-Q2"
278,"MW","OCCUSE","2019-Q2"
178,"MW","URE","2019-Q2"
18538,"MW","OWNOCC","2019-Q2"
3264,"MW","VACANT","2019-Q2"
2527,"MW","YRVAC","2019-Q2"
1405,"MW","OFFMAR","2019-Q2"
949,"MW","OTH","2019-Q2"
30512,"MW","TOTAL","2019-Q2"
27248,"MW","OCC","2019-Q2"
8710,"MW","RNTOCC","2019-Q2"
8384,"NE","RNTOCC","2019-Q2"
2796,"NE","VACANT","2019-Q2"
