"cell_value","geo_level_code","data_type_code","time"
68.6,"MW","HOR","2015-Q1"
1.9,"MW","HVR","2015-Q1"
7.8,"MW","RVR","2015-Q1"
61.1,"NE","HOR","2015-Q1"
1.8,"NE","HVR","2015-Q1"
5.4,"NE","RVR","2015-Q1"
65.1,"SO","HOR","2015-Q1"
2.2,"SO","HVR","2015-Q1"
8.8,"SO","RVR","2015-Q1"
63.7,"US","HOR","2015-Q1"
1.9,"US","HVR","2015-Q1"
7.1,"US","RVR","2015-Q1"
0.3,"US","E_RVR","2015-Q1"
0.5,"US","E_HOR","2015-Q1"
0.1,"US","E_HVR","2015-Q1"
63.8,"US","SAHOR","2015-Q1"
5.3,"WE","RVR","2015-Q1"
58.5,"WE","HOR","2015-Q1"
1.2,"WE","HVR","2015-Q1"
60.2,"NE","HOR","2015-Q2"
7.7,"MW","RVR","2015-Q2"
1.7,"MW","HVR","2015-Q2"
5.4,"NE","RVR","2015-Q2"
68.4,"MW","HOR","2015-Q2"
1.8,"NE","HVR","2015-Q2"
8.4,"SO","RVR","2015-Q2"
2.1,"SO","HVR","2015-Q2"
64.9,"SO","HOR","2015-Q2"
6.8,"US","RVR","2015-Q2"
1.8,"US","HVR","2015-Q2"
63.4,"US","HOR","2015-Q2"
0.3,"US","E_RVR","2015-Q2"
0.1,"US","E_HVR","2015-Q2"
0.5,"US","E_HOR","2015-Q2"
63.5,"US","SAHOR","2015-Q2"
4.9,"WE","RVR","2015-Q2"
1.4,"WE","HVR","2015-Q2"
58.5,"WE","HOR","2015-Q2"
7.8,"MW","RVR","2015-Q3"
1.7,"MW","HVR","2015-Q3"
68.1,"MW","HOR","2015-Q3"
5.6,"NE","RVR","2015-Q3"
60.8,"NE","HOR","2015-Q3"
2,"NE","HVR","2015-Q3"
65.4,"SO","HOR","2015-Q3"
9.3,"SO","RVR","2015-Q3"
2.1,"SO","HVR","2015-Q3"
7.3,"US","RVR","2015-Q3"
1.9,"US","HVR","2015-Q3"
63.7,"US","HOR","2015-Q3"
0.3,"US","E_RVR","2015-Q3"
0.1,"US","E_HVR","2015-Q3"
0.5,"US","E_HOR","2015-Q3"
63.6,"US","SAHOR","2015-Q3"
5.2,"WE","RVR","2015-Q3"
1.5,"WE","HVR","2015-Q3"
58.7,"WE","HOR","2015-Q3"
1.7,"MW","HVR","2015-Q4"
68.1,"MW","HOR","2015-Q4"
7,"MW","RVR","2015-Q4"
5.5,"NE","RVR","2015-Q4"
61.6,"NE","HOR","2015-Q4"
2,"NE","HVR","2015-Q4"
9.2,"SO","RVR","2015-Q4"
2.1,"SO","HVR","2015-Q4"
65.3,"SO","HOR","2015-Q4"
1.9,"US","HVR","2015-Q4"
63.8,"US","HOR","2015-Q4"
7,"US","RVR","2015-Q4"
0.5,"US","E_HOR","2015-Q4"
0.3,"US","E_RVR","2015-Q4"
0.1,"US","E_HVR","2015-Q4"
4.9,"WE","RVR","2015-Q4"
1.5,"WE","HVR","2015-Q4"
59,"WE","HOR","2015-Q4"
7.7,"MW","RVR","2016-Q1"
1.7,"MW","HVR","2016-Q1"
68.9,"MW","HOR","2016-Q1"
5.4,"NE","RVR","2016-Q1"
1.9,"NE","HVR","2016-Q1"
60.4,"NE","HOR","2016-Q1"
8.8,"SO","RVR","2016-Q1"
64.8,"SO","HOR","2016-Q1"
2,"SO","HVR","2016-Q1"
1.7,"US","HVR","2016-Q1"
63.5,"US","HOR","2016-Q1"
7,"US","RVR","2016-Q1"
0.5,"US","E_HOR","2016-Q1"
0.3,"US","E_RVR","2016-Q1"
0.1,"US","E_HVR","2016-Q1"
63.5,"US","SAHOR","2016-Q1"
5.1,"WE","RVR","2016-Q1"
1.2,"WE","HVR","2016-Q1"
58.7,"WE","HOR","2016-Q1"
7.3,"MW","RVR","2016-Q2"
1.6,"MW","HVR","2016-Q2"
67.7,"MW","HOR","2016-Q2"
5.2,"NE","RVR","2016-Q2"
1.8,"NE","HVR","2016-Q2"
59.2,"NE","HOR","2016-Q2"
8.5,"SO","RVR","2016-Q2"
64.8,"SO","HOR","2016-Q2"
2,"SO","HVR","2016-Q2"
63.7,"US","SAHOR","2015-Q4"
6.7,"US","RVR","2016-Q2"
1.7,"US","HVR","2016-Q2"
62.9,"US","HOR","2016-Q2"
0.5,"US","E_HOR","2016-Q2"
0.3,"US","E_RVR","2016-Q2"
63.1,"US","SAHOR","2016-Q2"
4.9,"WE","RVR","2016-Q2"
1.2,"WE","HVR","2016-Q2"
57.9,"WE","HOR","2016-Q2"
1.8,"NE","HVR","2016-Q3"
0.1,"US","E_HVR","2016-Q2"
7.8,"MW","RVR","2016-Q3"
1.5,"MW","HVR","2016-Q3"
68.6,"MW","HOR","2016-Q3"
5.2,"NE","RVR","2016-Q3"
60.8,"NE","HOR","2016-Q3"
8.7,"SO","RVR","2016-Q3"
2.1,"SO","HVR","2016-Q3"
65,"SO","HOR","2016-Q3"
6.8,"US","RVR","2016-Q3"
1.8,"US","HVR","2016-Q3"
63.5,"US","HOR","2016-Q3"
0.5,"US","E_HOR","2016-Q3"
4.4,"WE","RVR","2016-Q3"
1.5,"WE","HVR","2016-Q3"
58.2,"WE","HOR","2016-Q3"
1.8,"NE","HVR","2016-Q4"
0.3,"US","E_RVR","2016-Q3"
0.1,"US","E_HVR","2016-Q3"
63.4,"US","SAHOR","2016-Q3"
7.2,"MW","RVR","2016-Q4"
1.6,"MW","HVR","2016-Q4"
68.4,"MW","HOR","2016-Q4"
5.5,"NE","RVR","2016-Q4"
60.4,"NE","HOR","2016-Q4"
9.2,"SO","RVR","2016-Q4"
2.2,"SO","HVR","2016-Q4"
65.3,"SO","HOR","2016-Q4"
6.9,"US","RVR","2016-Q4"
1.8,"US","HVR","2016-Q4"
63.7,"US","HOR","2016-Q4"
0.5,"US","E_HOR","2016-Q4"
0.3,"US","E_RVR","2016-Q4"
0.1,"US","E_HVR","2016-Q4"
63.5,"US","SAHOR","2016-Q4"
4.2,"WE","RVR","2016-Q4"
1.3,"WE","HVR","2016-Q4"
59,"WE","HOR","2016-Q4"
5.7,"NE","RVR","2017-Q1"
7.8,"MW","RVR","2017-Q1"
1.6,"MW","HVR","2017-Q1"
67.6,"MW","HOR","2017-Q1"
1.4,"NE","HVR","2017-Q1"
60.6,"NE","HOR","2017-Q1"
8.8,"SO","RVR","2017-Q1"
65.4,"SO","HOR","2017-Q1"
