region,state,2018,2019,2020,label,type,USregion
"Akron, OH",OH,142450,151309.58333333334,163896.91666666666,SFR,sales,Midwest
"North Port-Sarasota-Bradenton, FL",FL,285713.3333333333,292242.1666666667,306549.4166666667,SFR,sales,Southeast
"Little Rock, AR",AR,162569.08333333334,167542.08333333334,181194.33333333334,SFR,sales,Southeast
"Stockton, CA",CA,390062.5,408333.3333333333,435875,SFR,sales,West
"Charleston, SC",SC,278664.0833333333,287744.8333333333,309776.5,SFR,sales,Southeast
"Syracuse, NY",NY,137479,145406.83333333334,157934.83333333334,SFR,sales,Northeast
"Colorado Springs, CO",CO,310521.3333333333,328109.5833333333,366534.75,SFR,sales,West
"Winston-Salem, NC",NC,163358.33333333334,176616.08333333334,194164.16666666666,SFR,sales,Southeast
"Wichita, KS",KS,147341.66666666666,155454.16666666666,169082.5,SFR,sales,Midwest
"Springfield, MA",MA,219185,226094.08333333334,245045.83333333334,SFR,sales,Northeast
"Fort Myers, FL",FL,244075.41666666666,250304.16666666666,259778.75,SFR,sales,Southeast
"Boise City, ID",ID,273056.6666666667,298887,349557.5,SFR,sales,West
"Toledo, OH",OH,119141.66666666667,127029.16666666667,137103.5,SFR,sales,Midwest
"Madison, WI",WI,273825,287971.5833333333,307362.5,SFR,sales,Midwest
"Lakeland, FL",FL,194904.25,210619.33333333334,222640,SFR,sales,Southeast
"Ogden, UT",UT,267787.5,290370.8333333333,330681.25,SFR,sales,West
"Daytona Beach, FL",FL,204832.5,223249.25,236845,SFR,sales,Southeast
"Des Moines, IA",IA,212394.83333333334,222204.16666666666,235505.83333333334,SFR,sales,Midwest
"Jackson, MS",MS,183616.91666666666,188071.5,210708.33333333334,SFR,sales,Southeast
"Augusta, GA",GA,175596.08333333334,184887.5,203865.83333333334,SFR,sales,Southeast
"Harrisburg, PA",PA,178725,188000,202595.41666666666,SFR,sales,Northeast
"Provo, UT",UT,311195.8333333333,331251.5,369220.8333333333,SFR,sales,West
"Fort Collins, CO",CO,393481.3333333333,403937.8333333333,420121,SFR,sales,West
"Los Angeles-Long Beach-Anaheim, CA",CA,640124.5833333334,650283.3333333334,699642.5,all,sales,West
"Chicago, IL",IL,233216.66666666666,238958.33333333334,255375,all,sales,Midwest
"Dallas-Fort Worth, TX",TX,263866.75,270685.25,289464.5833333333,all,sales,Southwest
"Philadelphia, PA",PA,238927.08333333334,249103.75,270141.6666666667,all,sales,Northeast
"Houston, TX",TX,234245,243626.33333333334,257812.75,all,sales,Southwest
"Washington, DC",DC,404001.6666666667,413487.9166666667,440574.0833333333,all,sales,Southeast
"Miami-Fort Lauderdale, FL",FL,278896.25,291737.5,318125,all,sales,Southeast
"Atlanta, GA",GA,239566.16666666666,255395.58333333334,274972.6666666667,all,sales,Southeast
"Boston, MA",MA,444924.25,460618.3333333333,504336.6666666667,all,sales,Northeast
"San Francisco, CA",CA,806725.4166666666,807604.1666666666,855566.6666666666,all,sales,West
"Detroit, MI",MI,180408.33333333334,189270.83333333334,206139.58333333334,all,sales,Midwest
"Riverside, CA",CA,367799.5833333333,376145.8333333333,407495.8333333333,all,sales,West
"Phoenix, AZ",AZ,271173.5833333333,286920.4166666667,316016.6666666667,all,sales,Southwest
"Seattle, WA",WA,467583.0833333333,490602.0833333333,538267.25,all,sales,West
"Minneapolis-St Paul, MN",MN,260692,277935.6666666667,300186.5,all,sales,Midwest
"San Diego, CA",CA,578833.3333333334,586958.3333333334,627291.6666666666,all,sales,West
"St. Louis, MO",MO,179316.66666666666,189115.91666666666,204111.33333333334,all,sales,Midwest
"Tampa, FL",FL,220600,232500,252263.33333333334,all,sales,Southeast
"Baltimore, MD",MD,291054.6666666667,301517.25,309633.3333333333,all,sales,Northeast
"Denver, CO",CO,414708.4166666667,424740.4166666667,452392.5,all,sales,West
"Pittsburgh, PA",PA,165937.5,174972,185091.66666666666,all,sales,Northeast
"Portland, OR",OR,387661.25,399307.9166666667,426733.3333333333,all,sales,West
"Charlotte, NC",NC,248402.5,263865.8333333333,285556.1666666667,all,sales,Southeast
"Sacramento, CA",CA,403000,418083.3333333333,450333.3333333333,all,sales,West
"San Antonio, TX",TX,222728.75,229841.75,246345,all,sales,Southwest
"Orlando, FL",FL,252115.66666666666,267664.8333333333,278266.6666666667,all,sales,Southeast
"Cincinnati, OH",OH,175329.33333333334,185405.25,202365.83333333334,all,sales,Midwest
"Cleveland, OH",OH,142219.25,151173.33333333334,166387.5,all,sales,Midwest
