region,state,2018,2019,2020,label,type,USregion
"Toledo, OH",OH,30844,27612,22323,all,inventory,Midwest
"Madison, WI",WI,36155,36389,33238,all,inventory,Midwest
"Lakeland, FL",FL,54790,64343,55691,all,inventory,Southeast
"Ogden, UT",UT,27194,31370,23448,all,inventory,West
"Daytona Beach, FL",FL,74647,78978,67636,all,inventory,Southeast
"Des Moines, IA",IA,52395,53382,47613,all,inventory,Midwest
"Jackson, MS",MS,37556,34855,27414,all,inventory,Southeast
"Augusta, GA",GA,45772,45451,34064,all,inventory,Southeast
"Harrisburg, PA",PA,29714,27246,20180,all,inventory,Northeast
"Provo, UT",UT,35027,46015,34765,all,inventory,West
"Fort Collins, CO",CO,36545,36704,31101,all,inventory,West
