"cell_value","geo_level_code","data_type_code","time"
2775,"MW","YRVAC","2015-Q1"
978,"MW","SEASON","2015-Q1"
709,"MW","RENT","2015-Q1"
342,"MW","SALE","2015-Q1"
226,"MW","RNTSLD","2015-Q1"
243,"MW","OCCUSE","2015-Q1"
213,"MW","URE","2015-Q1"
1043,"MW","OTH","2015-Q1"
8218,"MW","RNTOCC","2015-Q1"
3753,"MW","VACANT","2015-Q1"
1498,"MW","OFFMAR","2015-Q1"
29911,"MW","TOTAL","2015-Q1"
26158,"MW","OCC","2015-Q1"
17940,"MW","OWNOCC","2015-Q1"
237,"NE","SALE","2015-Q1"
3159,"NE","VACANT","2015-Q1"
2133,"NE","YRVAC","2015-Q1"
160,"NE","RNTSLD","2015-Q1"
1266,"NE","OFFMAR","2015-Q1"
362,"NE","OCCUSE","2015-Q1"
287,"NE","URE","2015-Q1"
616,"NE","OTH","2015-Q1"
1026,"NE","SEASON","2015-Q1"
471,"NE","RENT","2015-Q1"
23992,"NE","TOTAL","2015-Q1"
20832,"NE","OCC","2015-Q1"
12736,"NE","OWNOCC","2015-Q1"
8097,"NE","RNTOCC","2015-Q1"
5809,"SO","YRVAC","2015-Q1"
1659,"SO","SEASON","2015-Q1"
880,"SO","OCCUSE","2015-Q1"
614,"SO","URE","2015-Q1"
1519,"SO","RENT","2015-Q1"
656,"SO","SALE","2015-Q1"
426,"SO","RNTSLD","2015-Q1"
3208,"SO","OFFMAR","2015-Q1"
51601,"SO","TOTAL","2015-Q1"
44133,"SO","OCC","2015-Q1"
28714,"SO","OWNOCC","2015-Q1"
15419,"SO","RNTOCC","2015-Q1"
7467,"SO","VACANT","2015-Q1"
1713,"SO","OTH","2015-Q1"
1424,"US","SALE","2015-Q1"
986,"US","RNTSLD","2015-Q1"
3877,"US","OTH","2015-Q1"
134862,"US","TOTAL","2015-Q1"
117360,"US","OCC","2015-Q1"
74729,"US","OWNOCC","2015-Q1"
42631,"US","RNTOCC","2015-Q1"
17502,"US","VACANT","2015-Q1"
12952,"US","YRVAC","2015-Q1"
4551,"US","SEASON","2015-Q1"
3311,"US","RENT","2015-Q1"
7230,"US","OFFMAR","2015-Q1"
1906,"US","OCCUSE","2015-Q1"
1447,"US","URE","2015-Q1"
188,"WE","SALE","2015-Q1"
422,"WE","OCCUSE","2015-Q1"
10897,"WE","RNTOCC","2015-Q1"
29359,"WE","TOTAL","2015-Q1"
26236,"WE","OCC","2015-Q1"
15339,"WE","OWNOCC","2015-Q1"
3123,"WE","VACANT","2015-Q1"
2234,"WE","YRVAC","2015-Q1"
888,"WE","SEASON","2015-Q1"
612,"WE","RENT","2015-Q1"
175,"WE","RNTSLD","2015-Q1"
1259,"WE","OFFMAR","2015-Q1"
333,"WE","URE","2015-Q1"
504,"WE","OTH","2015-Q1"
813,"MW","SEASON","2015-Q2"
712,"MW","RENT","2015-Q2"
309,"MW","SALE","2015-Q2"
310,"MW","RNTSLD","2015-Q2"
228,"MW","OCCUSE","2015-Q2"
209,"MW","URE","2015-Q2"
986,"MW","OTH","2015-Q2"
2752,"MW","YRVAC","2015-Q2"
1421,"MW","OFFMAR","2015-Q2"
29942,"MW","TOTAL","2015-Q2"
18045,"MW","OWNOCC","2015-Q2"
8332,"MW","RNTOCC","2015-Q2"
3564,"MW","VACANT","2015-Q2"
26377,"MW","OCC","2015-Q2"
