"cell_value","geo_level_code","data_type_code","time"
530,"MW","OTH","2000-Q4"
24530,"MW","OCC","2000-Q4"
27149,"MW","TOTAL","2000-Q4"
871,"MW","OFFMAR","2000-Q4"
2620,"MW","VACANT","2000-Q4"
638,"MW","RENT","2000-Q4"
169,"MW","RNTSLD","2000-Q4"
173,"MW","OCCUSE","2000-Q4"
711,"MW","SEASON","2000-Q4"
17943,"MW","OWNOCC","2000-Q4"
167,"MW","URE","2000-Q4"
1908,"MW","YRVAC","2000-Q4"
6586,"MW","RNTOCC","2000-Q4"
230,"MW","SALE","2000-Q4"
391,"NE","OTH","2000-Q4"
19922,"NE","OCC","2000-Q4"
22275,"NE","TOTAL","2000-Q4"
875,"NE","OFFMAR","2000-Q4"
2353,"NE","VACANT","2000-Q4"
410,"NE","RENT","2000-Q4"
119,"NE","RNTSLD","2000-Q4"
798,"NE","SEASON","2000-Q4"
12588,"NE","OWNOCC","2000-Q4"
269,"NE","OCCUSE","2000-Q4"
215,"NE","URE","2000-Q4"
7334,"NE","RNTOCC","2000-Q4"
1555,"NE","YRVAC","2000-Q4"
452,"SO","URE","2000-Q4"
4751,"SO","YRVAC","2000-Q4"
11139,"SO","RNTOCC","2000-Q4"
572,"SO","SALE","2000-Q4"
1168,"SO","OTH","2000-Q4"
36880,"SO","OCC","2000-Q4"
42860,"SO","TOTAL","2000-Q4"
2532,"SO","OFFMAR","2000-Q4"
5980,"SO","VACANT","2000-Q4"
1358,"SO","RENT","2000-Q4"
288,"SO","RNTSLD","2000-Q4"
1229,"SO","SEASON","2000-Q4"
912,"SO","OCCUSE","2000-Q4"
103646,"US","OCC","2000-Q4"
116914,"US","TOTAL","2000-Q4"
5139,"US","OFFMAR","2000-Q4"
13268,"US","VACANT","2000-Q4"
2887,"US","RENT","2000-Q4"
730,"US","RNTSLD","2000-Q4"
3358,"US","SEASON","2000-Q4"
70010,"US","OWNOCC","2000-Q4"
1728,"US","OCCUSE","2000-Q4"
977,"US","URE","2000-Q4"
33635,"US","RNTOCC","2000-Q4"
9910,"US","YRVAC","2000-Q4"
1154,"US","SALE","2000-Q4"
2434,"US","OTH","2000-Q4"
143,"WE","URE","2000-Q4"
13738,"WE","OWNOCC","2000-Q4"
8576,"WE","RNTOCC","2000-Q4"
1696,"WE","YRVAC","2000-Q4"
200,"WE","SALE","2000-Q4"
345,"WE","OTH","2000-Q4"
22314,"WE","OCC","2000-Q4"
24630,"WE","TOTAL","2000-Q4"
862,"WE","OFFMAR","2000-Q4"
2316,"WE","VACANT","2000-Q4"
481,"WE","RENT","2000-Q4"
153,"WE","RNTSLD","2000-Q4"
620,"WE","SEASON","2000-Q4"
374,"WE","OCCUSE","2000-Q4"
254,"MW","URE","2001-Q1"
152,"NE","SALE","2000-Q4"
25741,"SO","OWNOCC","2000-Q4"
199,"MW","OCCUSE","2001-Q1"
720,"MW","SEASON","2001-Q1"
17837,"MW","OWNOCC","2001-Q1"
6537,"MW","RNTOCC","2001-Q1"
2136,"MW","YRVAC","2001-Q1"
264,"MW","SALE","2001-Q1"
600,"MW","OTH","2001-Q1"
24374,"MW","OCC","2001-Q1"
27230,"MW","TOTAL","2001-Q1"
1053,"MW","OFFMAR","2001-Q1"
2856,"MW","VACANT","2001-Q1"
645,"MW","RENT","2001-Q1"
174,"MW","RNTSLD","2001-Q1"
12593,"NE","OWNOCC","2001-Q1"
207,"NE","URE","2001-Q1"
242,"NE","OCCUSE","2001-Q1"
7192,"NE","RNTOCC","2001-Q1"
1550,"NE","YRVAC","2001-Q1"
152,"NE","SALE","2001-Q1"
446,"NE","OTH","2001-Q1"
19785,"NE","OCC","2001-Q1"
22316,"NE","TOTAL","2001-Q1"
895,"NE","OFFMAR","2001-Q1"
2532,"NE","VACANT","2001-Q1"
391,"NE","RENT","2001-Q1"
112,"NE","RNTSLD","2001-Q1"
982,"NE","SEASON","2001-Q1"
1470,"SO","RENT","2001-Q1"
308,"SO","RNTSLD","2001-Q1"
1122,"SO","SEASON","2001-Q1"
926,"SO","OCCUSE","2001-Q1"
25670,"SO","OWNOCC","2001-Q1"
469,"SO","URE","2001-Q1"
4898,"SO","YRVAC","2001-Q1"
11375,"SO","RNTOCC","2001-Q1"
505,"SO","SALE","2001-Q1"
1219,"SO","OTH","2001-Q1"
37045,"SO","OCC","2001-Q1"
43064,"SO","TOTAL","2001-Q1"
2614,"SO","OFFMAR","2001-Q1"
6019,"SO","VACANT","2001-Q1"
1127,"US","URE","2001-Q1"
1786,"US","OCCUSE","2001-Q1"
33552,"US","RNTOCC","2001-Q1"
10458,"US","YRVAC","2001-Q1"
1104,"US","SALE","2001-Q1"
2641,"US","OTH","2001-Q1"
103456,"US","OCC","2001-Q1"
117347,"US","TOTAL","2001-Q1"
5554,"US","OFFMAR","2001-Q1"
13891,"US","VACANT","2001-Q1"
3031,"US","RENT","2001-Q1"
769,"US","RNTSLD","2001-Q1"
3433,"US","SEASON","2001-Q1"
69904,"US","OWNOCC","2001-Q1"
2484,"WE","VACANT","2001-Q1"
524,"WE","RENT","2001-Q1"
175,"WE","RNTSLD","2001-Q1"
610,"WE","SEASON","2001-Q1"
419,"WE","OCCUSE","2001-Q1"
197,"WE","URE","2001-Q1"
13804,"WE","OWNOCC","2001-Q1"
8449,"WE","RNTOCC","2001-Q1"
1875,"WE","YRVAC","2001-Q1"
183,"WE","SALE","2001-Q1"
376,"WE","OTH","2001-Q1"
22253,"WE","OCC","2001-Q1"
24737,"WE","TOTAL","2001-Q1"
992,"WE","OFFMAR","2001-Q1"
812,"MW","SEASON","2001-Q2"
168,"MW","OCCUSE","2001-Q2"
17556,"MW","OWNOCC","2001-Q2"
243,"MW","URE","2001-Q2"
6591,"MW","RNTOCC","2001-Q2"
2351,"MW","YRVAC","2001-Q2"
348,"MW","SALE","2001-Q2"
564,"MW","OTH","2001-Q2"
24147,"MW","OCC","2001-Q2"
27310,"MW","TOTAL","2001-Q2"
974,"MW","OFFMAR","2001-Q2"
3163,"MW","VACANT","2001-Q2"
771,"MW","RENT","2001-Q2"
257,"MW","RNTSLD","2001-Q2"
12545,"NE","OWNOCC","2001-Q2"
280,"NE","OCCUSE","2001-Q2"
198,"NE","URE","2001-Q2"
7316,"NE","RNTOCC","2001-Q2"
1603,"NE","YRVAC","2001-Q2"
159,"NE","SALE","2001-Q2"
410,"NE","OTH","2001-Q2"
19860,"NE","OCC","2001-Q2"
22357,"NE","TOTAL","2001-Q2"
888,"NE","OFFMAR","2001-Q2"
2497,"NE","VACANT","2001-Q2"
411,"NE","RENT","2001-Q2"
145,"NE","RNTSLD","2001-Q2"
893,"NE","SEASON","2001-Q2"
1310,"SO","SEASON","2001-Q2"
961,"SO","OCCUSE","2001-Q2"
25840,"SO","OWNOCC","2001-Q2"
444,"SO","URE","2001-Q2"
4877,"SO","YRVAC","2001-Q2"
11246,"SO","RNTOCC","2001-Q2"
520,"SO","SALE","2001-Q2"
1170,"SO","OTH","2001-Q2"
37086,"SO","OCC","2001-Q2"
43273,"SO","TOTAL","2001-Q2"
2575,"SO","OFFMAR","2001-Q2"
6187,"SO","VACANT","2001-Q2"
1387,"SO","RENT","2001-Q2"
395,"SO","RNTSLD","2001-Q2"
33430,"US","RNTOCC","2001-Q2"
10722,"US","YRVAC","2001-Q2"
1258,"US","SALE","2001-Q2"
2536,"US","OTH","2001-Q2"
103411,"US","OCC","2001-Q2"
117786,"US","TOTAL","2001-Q2"
5400,"US","OFFMAR","2001-Q2"
14375,"US","VACANT","2001-Q2"
3071,"US","RENT","2001-Q2"
993,"US","RNTSLD","2001-Q2"
3652,"US","SEASON","2001-Q2"
69981,"US","OWNOCC","2001-Q2"
1827,"US","OCCUSE","2001-Q2"
1037,"US","URE","2001-Q2"
2528,"WE","VACANT","2001-Q2"
503,"WE","RENT","2001-Q2"
196,"WE","RNTSLD","2001-Q2"
637,"WE","SEASON","2001-Q2"
417,"WE","OCCUSE","2001-Q2"
153,"WE","URE","2001-Q2"
14040,"WE","OWNOCC","2001-Q2"
8278,"WE","RNTOCC","2001-Q2"
1891,"WE","YRVAC","2001-Q2"
231,"WE","SALE","2001-Q2"
392,"WE","OTH","2001-Q2"
22318,"WE","OCC","2001-Q2"
24846,"WE","TOTAL","2001-Q2"
962,"WE","OFFMAR","2001-Q2"
2089,"MW","YRVAC","2001-Q3"
17870,"MW","OWNOCC","2001-Q3"
199,"MW","URE","2001-Q3"
6636,"MW","RNTOCC","2001-Q3"
326,"MW","SALE","2001-Q3"
536,"MW","OTH","2001-Q3"
24506,"MW","OCC","2001-Q3"
27390,"MW","TOTAL","2001-Q3"
850,"MW","OFFMAR","2001-Q3"
2884,"MW","VACANT","2001-Q3"
692,"MW","RENT","2001-Q3"
221,"MW","RNTSLD","2001-Q3"
795,"MW","SEASON","2001-Q3"
116,"MW","OCCUSE","2001-Q3"
241,"NE","OCCUSE","2001-Q3"
165,"NE","URE","2001-Q3"
7181,"NE","RNTOCC","2001-Q3"
1600,"NE","YRVAC","2001-Q3"
170,"NE","SALE","2001-Q3"
424,"NE","OTH","2001-Q3"
19977,"NE","OCC","2001-Q3"
22397,"NE","TOTAL","2001-Q3"
830,"NE","OFFMAR","2001-Q3"
2420,"NE","VACANT","2001-Q3"
426,"NE","RENT","2001-Q3"
174,"NE","RNTSLD","2001-Q3"
820,"NE","SEASON","2001-Q3"
12796,"NE","OWNOCC","2001-Q3"
1132,"SO","SEASON","2001-Q3"
1060,"SO","OCCUSE","2001-Q3"
26200,"SO","OWNOCC","2001-Q3"
445,"SO","URE","2001-Q3"
4991,"SO","YRVAC","2001-Q3"
11152,"SO","RNTOCC","2001-Q3"
634,"SO","SALE","2001-Q3"
1114,"SO","OTH","2001-Q3"
37352,"SO","OCC","2001-Q3"
43474,"SO","TOTAL","2001-Q3"
